1,,mb_12_nwei,mb_all_nwei,mb_all_wei
2,gender,89.79%,84.21%,93.33%
3,cap,38.82%,0.00%,0.00%
4,hairless,6.62%,0.00%,0.00%
5,short hair,87.85%,93.02%,90.48%
6,long hair,78.94%,0.00%,0.00%
7,knot,66.52%,0.00%,0.00%
8,h_colorful,32.94%,0.00%,0.00%
9,h_black,95.46%,100.00%,100.00%
10,Tshirt_shs,91.19%,100.00%,100.00%
11,shirt_ls,20.88%,0.00%,0.00%
12,coat,4.10%,0.00%,0.00%
13,top,51.07%,0.00%,0.00%
14,simple/patterned,13.73%,40.00%,0.00%
15,b_w,78.84%,40.00%,0.00%
16,b_r,75.86%,86.79%,0.00%
17,b_y,91.97%,100.00%,0.00%
18,b_green,68.90%,0.00%,0.00%
19,b_b,67.23%,0.00%,0.00%
20,b_gray,54.38%,0.00%,0.00%
21,b_p,63.38%,0.00%,0.00%
22,b_black,72.62%,94.12%,0.00%
23,backpack,48.01%,26.23%,35.56%
24,shoulder bag,0.00%,0.00%,0.00%
25,hand bag,0.00%,0.00%,0.00%
26,no bag,59.55%,63.41%,79.14%
27,pants,90.73%,98.70%,94.87%
28,short,90.63%,88.66%,92.16%
29,skirt,73.45%,0.00%,0.00%
30,l_w,51.92%,100.00%,93.33%
31,l_r,41.93%,0.00%,0.00%
32,l_br,40.10%,0.00%,0.00%
33,l_y,42.87%,0.00%,0.00%
34,l_green,38.47%,0.00%,0.00%
35,l_b,73.10%,81.82%,47.06%
36,l_gray,55.78%,22.22%,43.75%
37,l_p,0.00%,0.00%,0.00%
38,l_black,84.21%,92.16%,94.00%
39,shoes,81.78%,84.67%,80.00%
40,sandal,60.46%,56.52%,52.83%
41,hidden,56.10%,0.00%,0.00%
42,no color,59.31%,60.38%,62.50%
43,f_w,53.15%,87.50%,80.00%
44,f_colorful,37.88%,40.00%,62.50%
45,f_black,65.91%,93.33%,93.15%
46,young,17.78%,0.00%,0.00%
47,teenager,89.37%,97.78%,93.64%
48,adult,44.76%,0.00%,0.00%
49,old,0.00%,0.00%,0.00%
50,average,54.34%,38.16%,31.01%
