,1,Unnamed: 1,mb_12_nowei,mb_all_nowei,mb_all_wei
0,2,gender,$90.84$,$98.21$,$93.75$
1,3,cap,$63.61$,$50.00$,$50.00$
2,4,hairless,$52.09$,$50.00$,$50.00$
3,5,short hair,$86.54$,$43.48$,$41.30$
4,6,long hair,$88.63$,$50.00$,$48.37$
5,7,knot,$79.69$,$43.48$,$42.93$
6,8,h_colorful,$61.52$,$50.00$,$50.00$
7,9,h_black,$61.49$,$50.00$,$50.00$
8,10,Tshirt_shs,$66.64$,$50.00$,$50.00$
9,11,shirt_ls,$56.74$,$50.00$,$50.00$
10,12,coat,$50.96$,$50.00$,$50.00$
11,13,top,$76.16$,$50.00$,$50.00$
12,14,simple/patterned,$53.69$,$62.50$,$50.00$
13,15,b_w,$83.27$,$62.50$,$50.00$
14,16,b_r,$84.48$,$88.33$,$50.00$
15,17,b_y,$93.47$,$100.00$,$50.00$
16,18,b_green,$80.03$,$50.00$,$50.00$
17,19,b_b,$80.57$,$50.00$,$50.00$
18,20,b_gray,$70.24$,$50.00$,$50.00$
19,21,b_p,$75.15$,$50.00$,$50.00$
20,22,b_black,$82.33$,$99.40$,$50.00$
21,23,backpack,$63.87$,$73.21$,$82.74$
22,24,shoulder bag,$50.00$,$50.00$,$50.00$
23,25,hand bag,$50.00$,$50.00$,$50.00$
24,26,no bag,$69.85$,$73.21$,$82.74$
25,27,pants,$92.81$,$98.72$,$95.55$
26,28,short,$89.08$,$89.28$,$91.78$
27,29,skirt,$84.19$,$44.57$,$47.83$
28,30,l_w,$73.54$,$100.00$,$93.75$
29,31,l_r,$77.43$,$50.00$,$50.00$
30,32,l_br,$68.63$,$50.00$,$50.00$
31,33,l_y,$66.37$,$50.00$,$50.00$
32,34,l_green,$69.08$,$49.44$,$50.00$
33,35,l_b,$81.77$,$84.62$,$65.38$
34,36,l_gray,$73.03$,$57.74$,$83.63$
35,37,l_p,$50.00$,$50.00$,$50.00$
36,38,l_black,$87.90$,$91.11$,$93.33$
37,39,shoes,$72.39$,$76.90$,$75.84$
38,40,sandal,$73.06$,$79.44$,$78.62$
39,41,hidden,$77.64$,$50.00$,$50.00$
40,42,no color,$70.06$,$83.73$,$83.45$
41,43,f_w,$72.81$,$93.15$,$86.90$
42,44,f_colorful,$61.00$,$61.41$,$72.69$
43,45,f_black,$77.31$,$94.20$,$93.81$
44,46,young,$55.85$,$50.00$,$48.37$
45,47,teenager,$72.25$,$47.83$,$44.02$
46,48,adult,$73.01$,$47.83$,$45.65$
47,49,old,$49.98$,$50.00$,$50.00$
48,50,average,$71.69$,$63.42$,$60.26$
